query	1	87.384	3226	13916	17126	1983224	1986434	0.0	3675
query	1	87.860	3089	1987	5070	1983358	1986444	0.0	3620
query	1	79.841	2639	21240	23853	2077077	2074461	0.0	1882
query	1	79.286	2747	21240	23959	2086739	2084022	0.0	1869
query	1	90.837	502	18818	19314	2092319	2091822	0.0	664
query	1	90.619	501	6495	6991	2092319	2091822	0.0	658
query	1	89.804	510	6493	6997	2080960	2080464	5.79e-180	638
query	1	89.608	510	18816	19320	2080960	2080464	2.69e-178	632
query	1	89.796	490	6508	6994	2089337	2088860	9.75e-173	614
query	1	84.404	654	18669	19317	2089482	2088860	1.26e-171	610
query	1	75.955	628	21241	21865	2070099	2069475	8.56e-84	318
query	1	83.502	297	25466	25747	1989143	1989430	6.81e-65	255
query	1	85.714	189	6802	6990	27563415	27563233	1.51e-46	195
query	1	84.293	191	19125	19313	27563415	27563233	1.52e-41	178
query	1	88.276	145	26276	26418	1990045	1990187	2.54e-39	171
query	1	91.000	100	826	923	1990625	1990723	1.20e-27	132
query	1	91.000	100	26950	27047	1990625	1990723	1.20e-27	132
query	1	80.672	119	10298	10409	8820092	8820209	9.46e-14	86.1
query	1	100.000	34	20186	20219	6924352	6924319	4.43e-07	63.9
query	1	97.222	36	20186	20221	8584627	8584592	1.59e-06	62.1
query	1	97.222	36	20186	20221	27723866	27723901	1.59e-06	62.1
query	1	81.579	76	9436	9507	6053984	6054059	5.73e-06	60.2
query	5	86.556	662	18680	19323	3007081	3006439	0.0	695
query	5	86.165	665	6355	7000	3007081	3006439	0.0	680
query	5	88.194	432	6554	6982	14870650	14871069	7.92e-139	501
query	5	87.090	457	18851	19305	14870639	14871069	4.77e-136	492
query	5	83.544	79	9436	9512	4322496	4322573	2.65e-09	71.3
query	5	82.895	76	9436	9508	6737242	6737317	1.23e-07	65.8
query	5	83.562	73	9438	9508	11177716	11177645	1.23e-07	65.8
query	5	82.667	75	9436	9507	6978442	6978516	4.43e-07	63.9
query	5	95.000	40	9468	9507	16260573	16260534	4.43e-07	63.9
query	5	97.222	36	20186	20221	13889952	13889917	1.59e-06	62.1
query	8	88.210	458	6528	6979	15200301	15200752	2.17e-149	536
query	8	87.991	458	18851	19302	15200301	15200752	1.01e-147	531
query	8	77.987	159	10303	10453	9876595	9876749	7.31e-15	89.8
query	8	80.342	117	10303	10411	5974521	5974406	4.40e-12	80.5
query	8	83.117	77	9437	9510	7376721	7376647	1.23e-07	65.8
query	8	97.297	37	20185	20221	8656717	8656753	4.43e-07	63.9
query	8	82.667	75	9437	9508	8709699	8709625	4.43e-07	63.9
query	8	100.000	32	20185	20216	10080380	10080411	5.73e-06	60.2
